sec,nanosec,x,y,z,qx,qy,qz,qw
1742308722,775871322,-2.5843212264799296,3.018745126703843,0.0,0.0,0.0,-0.991866847791268,0.1272798344303353
1742308722,795345849,-2.6037300791064175,3.0136805037967433,0.0,0.0,0.0,-0.9915198847101258,0.1299550623270171
1742308722,815368635,-2.6237587808501877,3.0083385529139988,0.0,0.0,0.0,-0.9911706376620117,0.13259248484239577
1742308722,835277173,-2.64380641328706,3.002877129914014,0.0,0.0,0.0,-0.99084796747276,0.13498261130642036
1742308722,855680079,-2.6639210955176225,2.9972930769048167,0.0,0.0,0.0,-0.9905706247554281,0.1370030560667931
1742308722,870457185,-2.678214585655971,2.9932621850569667,0.0,0.0,0.0,-0.9903708119190808,0.13844007692406315
1742308722,895354811,-2.7021767556200573,2.9864295169176023,0.0,0.0,0.0,-0.9900093765674617,0.14100154009267343
1742308722,915316313,-2.7216522242756156,2.980767090369858,0.0,0.0,0.0,-0.9896746871995197,0.14333183008855002
1742308722,935286167,-2.7408922637371913,2.9750747308522176,0.0,0.0,0.0,-0.9893202587417934,0.14575810661184843
1742308722,955356572,-2.7601857190762646,2.9692635191354992,0.0,0.0,0.0,-0.9889766474691621,0.1480715731011747
1742308722,975290424,-2.7794511086778146,2.9633623282518893,0.0,0.0,0.0,-0.9886276385633338,0.15038414899412164
1742308722,995337339,-2.7987927615354105,2.957338674742787,0.0,0.0,0.0,-0.9883091766630447,0.15246301624857939
1742308723,15337134,-2.8177724356070635,2.95134006231484,0.0,0.0,0.0,-0.9880858958316794,0.15390341925541345
1742308723,35322988,-2.836906704608628,2.945231180310316,0.0,0.0,0.0,-0.9878011474120324,0.15572056117119637
1742308723,55350541,-2.856489520202902,2.938899619047339,0.0,0.0,0.0,-0.9875653392411348,0.1572090987492212
1742308723,70189354,-2.8709066617963233,2.9341901895558453,0.0,0.0,0.0,-0.9873901282093113,0.15830582653459077
1742308723,95362028,-2.895063046575707,2.92623996229834,0.0,0.0,0.0,-0.9871184824563223,0.15999094222213744
1742308723,115361931,-2.914358666669855,2.9198163978508456,0.0,0.0,0.0,-0.986919216585809,0.16121556976189697
1742308723,135287206,-2.9336607948869515,2.913337416923981,0.0,0.0,0.0,-0.986758551906025,0.16219605494685893
1742308723,155327752,-2.95284675893685,2.9068549791176594,0.0,0.0,0.0,-0.9866783067735738,0.16268349314676464
1742308723,175355081,-2.971948771876807,2.900379871924251,0.0,0.0,0.0,-0.986598146721688,0.16316892132183336
1742308723,195323366,-2.9913363570203413,2.893786686205547,0.0,0.0,0.0,-0.9864551083620188,0.1640314579173087
1742308723,215292579,-3.0104945041665268,2.8872341288886996,0.0,0.0,0.0,-0.9863536452081437,0.16464047675042534
1742308723,235319204,-3.029634804410271,2.8806612647115006,0.0,0.0,0.0,-0.9862314484872096,0.1653708862370292
1742308723,255302562,-3.049091882455905,2.8739473844744916,0.0,0.0,0.0,-0.9861274621915674,0.1659898440014291
1742308723,275418888,-3.0686499192483794,2.8671711817287115,0.0,0.0,0.0,-0.9860224992149987,0.1666122175646429
1742308723,295393126,-3.0875003086494273,2.86061349167401,0.0,0.0,0.0,-0.9858597606683843,0.16757246878552556
