time,speed,steering_angle
0.000000,1.0,0.08639377355575562
0.074983,1.0,0.0628318339586258
0.074983,1.0,0.06675881892442703
0.149981,1.0,0.07853979617357254
0.199995,1.0,0.06675881892442703
0.249983,1.0,0.05890484154224396
0.299995,1.0,0.04319687560200691
0.349991,1.0,0.031415905803442
0.400004,1.0,0.027488913387060165
0.449998,1.0,0.02356192283332348
0.499993,1.0,0.031415905803442
0.549982,1.0,0.015707941725850105
0.599997,1.0,0.015707941725850105
0.649983,1.0,0.015707941725850105
0.649983,1.0,0.02356192283332348
0.699988,1.0,0.02356192283332348
0.750031,1.0,0.02356192283332348
0.750031,1.0,0.015707941725850105
0.799979,1.0,0.015707941725850105
0.849978,1.0,0.019634932279586792
0.849978,1.0,0.019634932279586792
0.949978,1.0,0.011780950240790844
0.999993,1.0,-0.019634975120425224
1.099995,1.0,-0.02356196567416191
1.149992,1.0,-0.04712391272187233
1.149992,1.0,-0.043196920305490494
1.199980,1.0,-0.03534293919801712
1.224993,1.0,-0.027488958090543747
1.249978,1.0,-0.03926992788910866
1.299977,1.0,-0.027488958090543747
1.349977,1.0,-0.02356196567416191
1.374970,1.0,-0.00392701243981719
1.449994,1.0,0.011780950240790844
1.500013,1.0,-2.179294789073083e-08
1.525008,1.0,0.015707941725850105
1.599991,1.0,0.027488913387060165
1.700004,1.0,0.03534289449453354
1.724997,1.0,0.05890484154224396
1.749974,1.0,0.0746128037571907
1.799984,1.0,0.07853979617357254
1.874990,1.0,0.1060287281870842
1.899974,1.0,0.10210173577070236
1.899974,1.0,0.09817475080490112
1.949999,1.0,0.10995572060346603
2.024994,1.0,0.10995572060346603
2.124991,1.0,0.14137165248394012
2.149989,1.0,0.14529862999916077
2.199990,1.0,0.15707960724830627
2.224969,1.0,0.15315261483192444
2.249972,1.0,0.1610065996646881
2.274976,1.0,0.17671456933021545
2.299984,1.0,0.1806415617465973
2.299984,1.0,0.1924225240945816
2.350009,1.0,0.19634951651096344
2.425000,1.0,0.18849553167819977
2.450007,1.0,0.2042035013437271
2.499993,1.0,0.20813049376010895
2.499993,1.0,0.1924225240945816
2.550000,1.0,0.21598447859287262
2.575032,1.0,0.2238384485244751
2.600007,1.0,0.2356194257736206
2.625006,1.0,0.21991145610809326
2.649997,1.0,0.21598447859287262
2.699982,1.0,0.2474004030227661
2.724984,1.0,0.2356194257736206
2.774987,1.0,0.24347341060638428
2.799982,1.0,0.25132739543914795
2.849997,1.0,0.23954641819000244
2.874984,1.0,0.21991145610809326
2.899980,1.0,0.2042035013437271
2.924976,1.0,0.2042035013437271
2.949971,1.0,0.20027650892734528
2.999970,1.0,0.18456853926181793
3.024976,1.0,0.17671456933021545
3.074970,1.0,0.21205748617649078
3.099992,1.0,0.19634951651096344
3.149966,1.0,0.2474004030227661
3.174977,1.0,0.2474004030227661
3.199990,1.0,0.24347341060638428
3.224993,1.0,0.22776544094085693
3.274964,1.0,0.17671456933021545
3.299974,1.0,0.15315261483192444
3.324964,1.0,0.13351766765117645
3.349957,1.0,0.2238384485244751
3.374962,1.0,0.2042035013437271
3.399971,1.0,0.22776544094085693
3.424962,1.0,0.2238384485244751
3.449958,1.0,0.25132739543914795
3.475015,1.0,0.25132739543914795
3.499989,1.0,0.2474004030227661
3.549967,1.0,0.25132739543914795
3.574961,1.0,0.2356194257736206
3.599965,1.0,0.2474004030227661
3.624970,1.0,0.24347341060638428
3.674958,1.0,0.22776544094085693
3.699970,1.0,0.2356194257736206
3.724982,1.0,0.18456853926181793
3.774956,1.0,0.16886058449745178
3.824959,1.0,0.1492256224155426
3.874962,1.0,0.1060287281870842
3.899955,1.0,0.09424775838851929
3.924971,1.0,0.07068581134080887
3.949971,1.0,0.12173669040203094
3.974969,1.0,0.10995572060346603
3.999961,1.0,0.12959067523479462
4.024956,1.0,0.09817475080490112
4.049969,1.0,0.12173669040203094
4.074957,1.0,0.11388271301984787
4.099953,1.0,0.09817475080490112
4.124965,1.0,0.12566368281841278
4.149955,1.0,0.10995572060346603
4.174964,1.0,0.1060287281870842
4.199958,1.0,0.09032076597213745
4.224953,1.0,0.14137165248394012
4.249966,1.0,0.11388271301984787
4.274955,1.0,0.15707960724830627
4.299966,1.0,0.14529862999916077
4.324955,1.0,0.12173669040203094
4.374973,1.0,0.15315261483192444
4.399989,1.0,0.15707960724830627
4.424991,1.0,0.1610065996646881
4.449960,1.0,0.15315261483192444
4.474957,1.0,0.1806415617465973
4.499978,1.0,0.19634951651096344
4.524987,1.0,0.18456853926181793
4.549959,1.0,0.16493359208106995
4.574967,1.0,0.1924225240945816
4.600090,1.0,0.1806415617465973
4.624978,1.0,0.1610065996646881
4.674963,1.0,0.1492256224155426
4.724956,1.0,0.17278757691383362
4.749965,1.0,0.17671456933021545
4.774974,1.0,0.23169243335723877
4.799967,1.0,0.23169243335723877
4.824955,1.0,0.24347341060638428
4.849954,1.0,0.2591813802719116
4.874952,1.0,0.2552543878555298
4.899966,1.0,0.25132739543914795
4.924972,1.0,0.2866702973842621
4.949950,1.0,0.2591813802719116
4.974962,1.0,0.2866702973842621
4.999950,1.0,0.26310837268829346
5.024946,1.0,0.27096232771873474
5.074953,1.0,0.30630525946617126
5.099949,1.0,0.2866702973842621
5.124951,1.0,0.28274330496788025
5.149946,1.0,0.28274330496788025
5.174958,1.0,0.29452428221702576
5.199949,1.0,0.29452428221702576
5.224946,1.0,0.34557515382766724
5.249958,1.0,0.3612831234931946
5.274951,1.0,0.45553091168403625
5.302376,1.0,0.47516587376594543
5.325001,1.0,0.47516587376594543
