sec,nanosec,frame_id,child_frame_id,tx,ty,tz,qx,qy,qz,qw
0,299995000,odom,base_link,0.2309040121245976,0.19311131032032358,0.0,0.0,0.0,0.3414110184511905,0.9399141005858572
0,349991000,odom,base_link,0.27188388951860865,0.22177905287076471,0.0,0.0,0.0,0.2884494818897799,0.9574951155998226
0,400004000,odom,base_link,0.3131126187729787,0.25065072432672697,0.0,0.0,0.0,0.3539980324236709,0.9352461670812502
0,449998000,odom,base_link,0.35407773960199795,0.2793084700233736,0.0,0.0,0.0,0.30132469884660207,0.9535215917141072
0,499993000,odom,base_link,0.3954177546291663,0.30828436230341094,0.0,0.0,0.0,0.36654665582408735,0.9303996717025314
0,549982000,odom,base_link,0.43639532872491116,0.33695129919392697,0.0,0.0,0.0,0.31414345560310325,0.9493755259652216
0,599997000,odom,base_link,0.477902415160463,0.3660831684046032,0.0,0.0,0.0,0.3791337762529276,0.9253418717988476
0,649983000,odom,base_link,0.5189233216382623,0.39478350144164903,0.0,0.0,0.0,0.3270644600907434,0.9450020311859391
0,699988000,odom,base_link,0.5605959900533468,0.4240856462531032,0.0,0.0,0.0,0.39175185456588024,0.920070912725858
0,750031000,odom,base_link,0.6017367039280251,0.4528778584943997,0.0,0.0,0.0,0.33980713061504114,0.9404951429875501
0,799979000,odom,base_link,0.6435491239088289,0.4823467017232592,0.0,0.0,0.0,0.4038623200460816,0.914819778124083
0,849978000,odom,base_link,0.6836895713526293,0.5124500589595187,0.0,0.0,0.0,0.35559594976157294,0.9346397811526989
0,949978000,odom,base_link,0.7763191487001757,0.607726609869859,0.0,0.0,0.0,0.6883290259712941,0.7253986159384436
0,999993000,odom,base_link,0.8224945038525894,0.6622741151436193,0.0,0.0,0.0,0.7392682178657553,0.6734110943944941
1,99995000,odom,base_link,0.7073599586711519,0.726424808988057,0.0,0.0,0.0,0.820289330338248,0.5719487866349823
1,149991999,odom,base_link,0.6991708556024849,0.7787366277207862,0.0,0.0,0.0,0.8577024065117224,0.5141464595463049
1,199980000,odom,base_link,0.6809278079702105,0.8253670209640016,0.0,0.0,0.0,0.8419133287167567,0.5396127749869071
1,224993000,odom,base_link,0.6699728578368593,0.8478534462960245,0.0,0.0,0.0,0.848029085135417,0.5299496870122556
1,249978000,odom,base_link,0.6599194044754906,0.8707281353935341,0.0,0.0,0.0,0.8403090619811336,0.5421076280153114
1,299976999,odom,base_link,0.6413946665208754,0.9183782313900831,0.0,0.0,0.0,0.8800144818156689,0.4749468515473071
1,349977000,odom,base_link,0.6232701105607492,0.9653587008403612,0.0,0.0,0.0,0.8567496323070207,0.5157325542776845
1,374970000,odom,base_link,0.6139107767361154,0.9887286704749483,0.0,0.0,0.0,0.8603356207782311,0.5097279859102654
1,449994000,odom,base_link,0.515681171717339,1.0356116885759346,0.0,0.0,0.0,0.8093185548553313,0.587369965836591
1,500013000,odom,base_link,0.5010195500941075,1.0836804997240972,0.0,0.0,0.0,0.7738761747833001,0.6333369293691686
1,525007999,odom,base_link,0.49369510649994314,1.1076905966618553,0.0,0.0,0.0,0.7752854380943138,0.6316110270403043
1,599991000,odom,base_link,0.5179253143184908,1.1884006528186137,0.0,0.0,0.0,0.7685091086597579,0.6398388468254991
1,700004000,odom,base_link,0.3383278351116369,1.2670528501563774,0.0,0.0,0.0,0.7490728615805866,0.6624876210492323
1,724996999,odom,base_link,0.3066647573033193,1.288713601183984,0.0,0.0,0.0,0.7447625787875413,0.6673295297210602
1,749973999,odom,base_link,0.28826818110608204,1.3119934364064798,0.0,0.0,0.0,0.7410786162788995,0.6714182634499539
1,799984000,odom,base_link,0.3046988937409008,1.3635707093946197,0.0,0.0,0.0,0.7362849989403862,0.6766715601644239
1,874989999,odom,base_link,0.2092010612848889,1.43431386013359,0.0,0.0,0.0,0.7229806591548412,0.6908682699965539
1,899974000,odom,base_link,0.19072179326069938,1.4586765986678825,0.0,0.0,0.0,0.7191660825242813,0.6948382155197559
1,949999000,odom,base_link,0.20722579410081313,1.5090448704052215,0.0,0.0,0.0,0.7142051366393861,0.6999364419702091
2,24993999,odom,base_link,0.11168512364661976,1.5858422395551448,0.0,0.0,0.0,0.7004555537819204,0.7136960257533058
2,124991000,odom,base_link,0.1980963300907504,1.682514547552058,0.0,0.0,0.0,0.6930579506236716,0.7208818745656714
2,149989000,odom,base_link,0.2063393663131684,1.707156299391274,0.0,0.0,0.0,0.690491148985269,0.7233408416320781
2,199990000,odom,base_link,0.1694571987720842,1.7598049496127903,0.0,0.0,0.0,0.6824808963060198,0.7309034314992178
2,224969000,odom,base_link,0.1643518063170803,1.7852559699743524,0.0,0.0,0.0,0.6791640325378863,0.7339865236548128
2,249972000,odom,base_link,0.1680925602794269,1.8100698865001867,0.0,0.0,0.0,0.6840122349897764,0.7294705356519144
