sec,nanosec,x,y,z,qx,qy,qz,qw,time
1742308723,755301902,-3.522789777489874,2.701443324556592,0.0,0.0,0.0,-0.9835597172628808,0.180583173573182,1742308723.755302
1742308723,775366609,-3.541713670477016,2.694251992471349,0.0,0.0,0.0,-0.9834927702889542,0.1809474254841948,1742308723.7753665
1742308723,795412851,-3.560560592722904,2.6870739297960147,0.0,0.0,0.0,-0.9836038615589578,0.1803425726951528,1742308723.7954128
1742308723,810277714,-3.5742317866330287,2.6818863463828304,0.0,0.0,0.0,-0.9836841747291184,0.1799039865803243,1742308723.8102777
1742308723,835371855,-3.597788029174975,2.672971868876525,0.0,0.0,0.0,-0.983904546284872,0.1786948342844872,1742308723.835372
1742308723,855369358,-3.616912384173416,2.6657882602037595,0.0,0.0,0.0,-0.984015671991067,0.1780818836265183,1742308723.8553693
1742308723,875433489,-3.635792933833632,2.6587230606344665,0.0,0.0,0.0,-0.9841249554650248,0.1774769619724288,1742308723.8754334
1742308723,895406671,-3.654246858100586,2.651843359340305,0.0,0.0,0.0,-0.9842526071859058,0.1767676589417502,1742308723.8954067
1742308723,915410158,-3.673242075093053,2.6447930300316456,0.0,0.0,0.0,-0.984492083464796,0.1754290101298671,1742308723.91541
1742308723,935338409,-3.692298075911295,2.6377790492216016,0.0,0.0,0.0,-0.984751850174652,0.1739649205374458,1742308723.9353385
1742308723,955430254,-3.7114271422327736,2.6308026997927336,0.0,0.0,0.0,-0.9849886739829096,0.1726189796209826,1742308723.9554303
1742308723,975418188,-3.730575105448453,2.623878696608405,0.0,0.0,0.0,-0.9852236569666364,0.1712727233195279,1742308723.975418
1742308723,995401738,-3.749945630656058,2.616934021657601,0.0,0.0,0.0,-0.9854165298418228,0.1701595213747972,1742308723.9954016
1742308724,15237330,-3.768839112658875,2.610208514726224,0.0,0.0,0.0,-0.9855618677341986,0.1693156958709914,1742308724.0152373
1742308724,35362297,-3.7878751035015017,2.603468986555221,0.0,0.0,0.0,-0.9857697191630532,0.1681013408072492,1742308724.0353622
1742308724,55382489,-3.806848334102706,2.596804242928461,0.0,0.0,0.0,-0.9859342069656414,0.1671338970258036,1742308724.0553825
1742308724,75380632,-3.825987601438938,2.5901233452336863,0.0,0.0,0.0,-0.9860990592563836,0.166158494617865,1742308724.0753806
1742308724,95423354,-3.844888736495564,2.5835674947871228,0.0,0.0,0.0,-0.9862406249807564,0.1653161505648112,1742308724.0954235
1742308724,115349716,-3.863641674551161,2.577098915166984,0.0,0.0,0.0,-0.9864200902547794,0.1642419116478884,1742308724.1153498
1742308724,135372757,-3.8827090798126536,2.570568304771531,0.0,0.0,0.0,-0.9865409564707682,0.1635143455655857,1742308724.1353726
1742308724,155394325,-3.901764745702246,2.5640731051433066,0.0,0.0,0.0,-0.9866611516692402,0.1627875050079967,1742308724.1553943
1742308724,175362162,-3.920345867415705,2.557770199128451,0.0,0.0,0.0,-0.9866806215794156,0.1626694531854647,1742308724.175362
1742308724,195387091,-3.939266105591773,2.551357309373833,0.0,0.0,0.0,-0.9867400072534408,0.1623088355126715,1742308724.1953871
1742308724,215385586,-3.9586496354331056,2.5448031821404675,0.0,0.0,0.0,-0.9868006953953176,0.1619394564870397,1742308724.2153857
1742308724,235360400,-3.977616641556784,2.5384057128928346,0.0,0.0,0.0,-0.9868204544363468,0.1618190060099298,1742308724.2353604
1742308724,255353486,-3.996393156887559,2.5320775999642344,0.0,0.0,0.0,-0.9867617324998768,0.1621767038567554,1742308724.2553535
1742308724,275380559,-4.015296851719469,2.5256913596392208,0.0,0.0,0.0,-0.9867024673316072,0.1625368910792832,1742308724.2753806
1742308724,295406000,-4.034543737962886,2.5191735199288177,0.0,0.0,0.0,-0.9867024674433754,0.1625368904007782,1742308724.295406
1742308724,315390990,-4.053278519544513,2.512829101342801,0.0,0.0,0.0,-0.9866239293583884,0.1630129504591999,1742308724.315391
1742308724,335400174,-4.0719500715178665,2.506486004360585,0.0,0.0,0.0,-0.9865650574493724,0.1633688691884612,1742308724.3354
1742308724,355386284,-4.090824538640828,2.5000587795752214,0.0,0.0,0.0,-0.9865253018552134,0.1636087674896431,1742308724.3553863
1742308724,375603384,-4.110004622076088,2.493517073421004,0.0,0.0,0.0,-0.9864848360657416,0.1638525807314214,1742308724.3756034
1742308724,390510210,-4.123858590741762,2.488784286892165,0.0,0.0,0.0,-0.986455564793666,0.1640287129974797,1742308724.3905103
1742308724,410437180,-4.142529688727832,2.482398428425774,0.0,0.0,0.0,-0.9863170195336228,0.1648597494184411,1742308724.410437
1742308724,435429419,-4.166642306628718,2.474106061170604,0.0,0.0,0.0,-0.9861627615298728,0.1657799981052445,1742308724.4354293
1742308724,455421993,-4.185804457374638,2.4674761524218347,0.0,0.0,0.0,-0.9859155212315928,0.1672440880708106,1742308724.455422
1742308724,475501165,-4.204810260999557,2.460837076223122,0.0,0.0,0.0,-0.9856678944773618,0.1686973674855787,1742308724.475501
1742308724,495365540,-4.223716551004849,2.4541701509263243,0.0,0.0,0.0,-0.9854816187581068,0.1697821518590849,1742308724.4953656
1742308724,510351219,-4.238113278284086,2.4490577723899385,0.0,0.0,0.0,-0.9852431277983696,0.1711606821851485,1742308724.5103512
1742308724,535434983,-4.261578194017431,2.4406512085808023,0.0,0.0,0.0,-0.9847438062319228,0.1740104482146545,1742308724.535435
1742308724,555435462,-4.280229011353561,2.4338473220288277,0.0,0.0,0.0,-0.984318724120346,0.1763991194595209,1742308724.5554354
