sec,nanosec,speed,steering_angle
1742308722,776105154,1.0,0.08639377355575562
1745517466,561453651,1.0,0.08246678113937378
1745517466,586454740,1.0,0.0746128037571907
1742308722,851087721,1.0,0.0628318339586258
1742308722,851087721,1.0,0.06675881892442703
1745517466,661449797,1.0,0.0746128037571907
1742308722,926085899,1.0,0.07853979617357254
1745517466,711455845,1.0,0.0746128037571907
1742308722,976099681,1.0,0.06675881892442703
1745517466,761455843,1.0,0.04712386801838875
1742308723,26087773,1.0,0.05890484154224396
1745517466,811455081,1.0,0.04712386801838875
1742308723,76100114,1.0,0.04319687560200691
1745517466,861472869,1.0,0.039269886910915375
1742308723,126096526,1.0,0.031415905803442
1745517466,911459548,1.0,0.015707941725850105
1742308723,176109088,1.0,0.027488913387060165
1745517466,961451426,1.0,0.019634932279586792
1742308723,226103180,1.0,0.02356192283332348
1745517467,11445604,1.0,0.019634932279586792
1742308723,276098232,1.0,0.031415905803442
1745517467,61445312,1.0,0.027488913387060165
1742308723,326086884,1.0,0.015707941725850105
1745517467,111445620,1.0,0.027488913387060165
1745517467,136442639,1.0,0.011780950240790844
1742308723,376102376,1.0,0.015707941725850105
1742308723,426087839,1.0,0.015707941725850105
1742308723,426087839,1.0,0.02356192283332348
1745517467,236444776,1.0,0.015707941725850105
1742308723,476093481,1.0,0.02356192283332348
1742308723,526136593,1.0,0.02356192283332348
1742308723,526136593,1.0,0.015707941725850105
1742308723,576084235,1.0,0.015707941725850105
1745517467,361470141,1.0,0.019634932279586792
1742308723,626083238,1.0,0.019634932279586792
1742308723,626083238,1.0,0.019634932279586792
1745517467,436453649,1.0,0.015707941725850105
1745517467,461443968,1.0,0.015707941725850105
1745517467,486443147,1.0,0.0039269691333174706
1742308723,726082882,1.0,0.011780950240790844
1742308723,776097994,1.0,-0.019634975120425224
1745517467,561450204,1.0,-0.019634975120425224
1745517467,586436954,1.0,-0.031415946781635284
1745517467,611444422,1.0,-0.019634975120425224
1742308723,876099739,1.0,-0.02356196567416191
1745517467,661449981,1.0,-0.043196920305490494
1742308723,926097571,1.0,-0.04712391272187233
1742308723,926097571,1.0,-0.043196920305490494
1742308723,976084894,1.0,-0.03534293919801712
1742308724,1098520,1.0,-0.027488958090543747
1742308724,26082826,1.0,-0.03926992788910866
