sec,nanosec,speed,steering_angle,time
1742308675,852028563,1.0,0.6000000238418579,1742308675.8520286
1742308675,877053839,1.0,0.6000000238418579,1742308675.8770537
1742308675,902038995,1.0,0.6000000238418579,1742308675.902039
1742308675,927052681,1.0,0.6000000238418579,1742308675.9270527
1742308675,952018348,1.0,0.6000000238418579,1742308675.9520183
1742308675,977032054,1.0,0.6000000238418579,1742308675.977032
1742308676,2060050,1.0,0.6000000238418579,1742308676.00206
1742308676,27041926,1.0,0.6000000238418579,1742308676.027042
1742308676,52034592,1.0,0.6000000238418579,1742308676.0520346
1742308676,77038678,1.0,0.6000000238418579,1742308676.0770388
1742308676,102014435,1.0,0.6000000238418579,1742308676.1020145
1742308676,127027281,1.0,0.6000000238418579,1742308676.1270273
1742308676,152035677,1.0,0.6000000238418579,1742308676.1520357
1742308676,177004553,1.0,0.6000000238418579,1742308676.1770046
1742308676,202001560,1.0,0.6000000238418579,1742308676.2020016
1742308676,227004676,1.0,0.6000000238418579,1742308676.2270048
1742308676,252043701,1.0,0.6000000238418579,1742308676.2520437
1742308676,277003548,1.0,0.6000000238418579,1742308676.2770035
1742308676,302011174,1.0,0.6000000238418579,1742308676.3020113
1742308676,326998520,1.0,0.6000000238418579,1742308676.3269985
1742308676,352010916,1.0,0.6000000238418579,1742308676.352011
1742308676,377003073,1.0,0.6000000238418579,1742308676.377003
1742308676,402001639,1.0,0.6000000238418579,1742308676.4020016
1742308676,426998535,1.0,0.6000000238418579,1742308676.4269986
1742308676,452000261,1.0,0.6000000238418579,1742308676.4520004
1742308676,476998068,1.0,0.6000000238418579,1742308676.476998
1742308676,502000704,1.0,0.6000000238418579,1742308676.5020008
1742308676,527000980,1.0,0.6000000238418579,1742308676.527001
1742308676,552031816,1.0,0.6000000238418579,1742308676.5520318
1742308676,577003173,1.0,0.6000000238418579,1742308676.5770032
1742308676,601999269,1.0,0.6000000238418579,1742308676.6019993
1742308676,627024025,1.0,0.6000000238418579,1742308676.627024
1742308676,652004182,1.0,0.6000000238418579,1742308676.6520042
1742308676,676996058,1.0,0.6000000238418579,1742308676.676996
1742308676,701996194,1.0,0.6000000238418579,1742308676.701996
1742308676,726998631,1.0,0.6000000238418579,1742308676.7269986
1742308676,752001287,1.0,0.6000000238418579,1742308676.7520013
1742308676,777010194,1.0,0.6000000238418579,1742308676.7770102
1742308676,801995230,1.0,0.6000000238418579,1742308676.8019953
1742308676,826998557,1.0,0.6000000238418579,1742308676.8269985
1742308676,852012943,1.0,0.6000000238418579,1742308676.8520129
1742308676,877002339,1.0,0.6000000238418579,1742308676.8770022
1742308676,901995606,1.0,0.6000000238418579,1742308676.9019957
1742308676,926992982,1.0,0.6000000238418579,1742308676.926993
1742308676,952006749,1.0,0.6000000238418579,1742308676.9520068
1742308676,977009445,1.0,0.6000000238418579,1742308676.9770095
1742308677,1995951,1.0,0.6000000238418579,1742308677.001996
1742308677,26994548,1.0,0.6000000238418579,1742308677.0269945
1742308677,51993264,1.0,0.6000000238418579,1742308677.0519934
1742308677,76993561,1.0,0.6000000238418579,1742308677.0769935
1742308677,101994007,1.0,0.6000000238418579,1742308677.101994
1742308677,127041753,1.0,0.6000000238418579,1742308677.1270418
1742308677,152013550,1.0,0.6000000238418579,1742308677.1520135
1742308677,177010366,1.0,0.6000000238418579,1742308677.1770103
1742308677,202004373,1.0,0.6000000238418579,1742308677.2020044
1742308677,227004109,1.0,0.6000000238418579,1742308677.227004
1742308677,252010665,1.0,0.6000000238418579,1742308677.2520106
1742308677,276999411,1.0,0.6000000238418579,1742308677.2769995
1742308677,301991348,1.0,0.6000000238418579,1742308677.3019915
1742308677,326999194,1.0,0.6000000238418579,1742308677.3269992
1742308677,351994791,1.0,0.6000000238418579,1742308677.3519948
1742308677,377018967,1.0,0.6000000238418579,1742308677.377019
1742308677,401995253,1.0,0.6000000238418579,1742308677.4019952
1742308677,426987230,1.0,0.6000000238418579,1742308677.4269872
1742308677,452018276,1.0,0.6000000238418579,1742308677.4520183
1742308677,476992532,1.0,0.6000000238418579,1742308677.4769926
1742308677,501986439,1.0,0.6000000238418579,1742308677.5019865
1742308677,527145974,1.0,0.6000000238418579,1742308677.5271459
1742308677,551984752,1.0,0.6000000238418579,1742308677.5519848
1742308677,577035388,1.0,0.6000000238418579,1742308677.5770354
1742308677,601993915,1.0,0.6000000238418579,1742308677.6019938
1742308677,626982752,1.0,0.6000000238418579,1742308677.6269827
1742308677,651987528,1.0,0.6000000238418579,1742308677.6519876
1742308677,676984545,1.0,0.6000000238418579,1742308677.6769845
1742308677,701996511,1.0,0.6000000238418579,1742308677.7019966
1742308677,726988478,1.0,0.6000000238418579,1742308677.7269886
1742308677,751995684,1.0,0.6000000238418579,1742308677.7519958
1742308677,776988451,1.0,0.6000000238418579,1742308677.7769885
1742308677,801999857,1.0,0.6000000238418579,1742308677.8019998
1742308677,826991944,1.0,0.6000000238418579,1742308677.826992
1742308677,851986431,1.0,0.6000000238418579,1742308677.8519864
1742308677,876982158,1.0,0.6000000238418579,1742308677.8769822
1742308677,901979784,1.0,0.6000000238418579,1742308677.9019797
1742308677,926975211,1.0,0.6000000238418579,1742308677.9269753
1742308677,951997677,1.0,0.6000000238418579,1742308677.9519978
1742308677,976982304,1.0,0.6000000238418579,1742308677.9769824
1742308678,1988780,1.0,0.6000000238418579,1742308678.001989
1742308678,26977107,1.0,0.6000000238418579,1742308678.026977
1742308678,51998344,1.0,0.6000000238418579,1742308678.0519984
1742308678,76980420,1.0,0.6000000238418579,1742308678.0769804
