sec,nanosec,ax,ay,az,gx,gy,gz,time
1742308723,755421493,-0.01513671875,0.0869140625,0.892578125,-1.03759765625,-0.18310546875,5.9814453125,1742308723.7554214
1742308723,775528283,-0.0673828125,0.0712890625,0.99267578125,-0.732421875,2.74658203125,7.6904296875,1742308723.7755282
1742308723,795579742,-0.0830078125,0.07080078125,1.07421875,-1.0986328125,0.244140625,7.99560546875,1742308723.7955797
1742308723,815614207,-0.03173828125,0.05029296875,0.9150390625,-3.23486328125,-0.48828125,5.55419921875,1742308723.8156142
1742308723,835527705,-0.00439453125,0.1103515625,0.9423828125,-1.953125,3.0517578125,5.0048828125,1742308723.8355277
1742308723,855525656,-0.02099609375,0.0966796875,1.04736328125,2.5634765625,4.150390625,3.72314453125,1742308723.8555257
1742308723,875568538,-0.0859375,0.056640625,0.9736328125,2.50244140625,-3.47900390625,1.40380859375,1742308723.8755686
1742308723,895544663,-0.056640625,0.056640625,0.796875,-3.35693359375,-2.25830078125,-0.67138671875,1742308723.8955448
1742308723,915538998,-0.017578125,0.1171875,0.890625,-6.34765625,-2.685546875,-1.953125,1742308723.915539
1742308723,935468017,-0.10009765625,0.08056640625,1.11279296875,-0.06103515625,-1.46484375,2.01416015625,1742308723.935468
1742308723,955572919,-0.11669921875,0.103515625,0.97705078125,4.0283203125,-5.37109375,4.94384765625,1742308723.9555728
1742308723,975574326,0.09326171875,0.115234375,0.875,-1.8310546875,1.5869140625,0.732421875,1742308723.9755743
1742308723,995557556,-0.02880859375,0.02978515625,1.005859375,-1.15966796875,2.62451171875,-1.3427734375,1742308723.9955575
1742308724,15355513,0.0166015625,0.046875,0.97705078125,-1.3427734375,3.0517578125,-3.35693359375,1742308724.0153556
1742308724,35518274,-0.0283203125,0.08349609375,1.03173828125,-0.42724609375,3.41796875,-6.2255859375,1742308724.0355182
1742308724,55535682,-0.12158203125,0.02880859375,0.99560546875,7.01904296875,0.9765625,-5.7373046875,1742308724.0555358
1742308724,75512256,-0.1044921875,0.10791015625,1.00146484375,5.55419921875,1.220703125,-2.44140625,1742308724.0755122
1742308724,95630790,-0.08935546875,0.07861328125,1.005859375,0.06103515625,-1.5869140625,-1.03759765625,1742308724.095631
1742308724,115484861,-0.00927734375,0.04541015625,0.93896484375,3.173828125,3.5400390625,-1.220703125,1742308724.115485
1742308724,135523422,-0.09130859375,0.0888671875,0.8779296875,-1.03759765625,1.77001953125,-1.40380859375,1742308724.1355233
1742308724,155578304,-0.10302734375,0.10595703125,0.98779296875,-5.18798828125,-2.86865234375,0.732421875,1742308724.1555784
1742308724,175486970,0.00732421875,0.10009765625,0.95849609375,-6.89697265625,4.33349609375,0.67138671875,1742308724.175487
1742308724,195569886,-0.0615234375,0.10986328125,0.96728515625,-2.25830078125,-0.1220703125,0.6103515625,1742308724.19557
1742308724,215534651,0.01220703125,0.0986328125,1.09326171875,1.89208984375,3.173828125,-1.28173828125,1742308724.2155347
1742308724,235495928,-0.0986328125,0.0302734375,0.9853515625,5.79833984375,-4.57763671875,-1.77001953125,1742308724.235496
1742308724,255506456,-0.00732421875,0.09033203125,0.80810546875,-0.6103515625,-1.5869140625,-1.77001953125,1742308724.2555065
1742308724,275558362,-0.0673828125,0.03271484375,0.984375,-0.3662109375,-0.54931640625,-2.13623046875,1742308724.2755585
1742308724,295576186,-0.07666015625,0.06982421875,1.0478515625,2.13623046875,-2.62451171875,0.6103515625,1742308724.295576
1742308724,315515285,-0.140625,0.03173828125,1.171875,7.75146484375,-0.6103515625,4.0283203125,1742308724.3155153
1742308724,335531446,-0.09033203125,0.05126953125,0.9375,8.9111328125,-1.8310546875,5.06591796875,1742308724.3355315
1742308724,355509907,0.02294921875,0.0732421875,0.87353515625,-1.220703125,0.9765625,2.44140625,1742308724.35551
1742308724,375768866,0.0615234375,0.0751953125,0.9921875,-3.72314453125,-0.9765625,-0.1220703125,1742308724.375769
1742308724,390705806,-0.005859375,0.09033203125,0.947265625,-0.48828125,2.13623046875,-0.6103515625,1742308724.3907058
1742308724,415790914,-0.0498046875,0.15576171875,0.9921875,-0.54931640625,0.91552734375,-1.15966796875,1742308724.4157908
1742308724,435583892,-0.05078125,0.10302734375,1.08544921875,10.3759765625,0.91552734375,-1.15966796875,1742308724.4355838
1742308724,455582131,-0.04150390625,0.11962890625,0.935546875,2.38037109375,1.953125,0.244140625,1742308724.4555821
1742308724,475658775,-0.02197265625,0.01025390625,0.923828125,-4.21142578125,6.2255859375,0.30517578125,1742308724.475659
1742308724,495516781,-0.07470703125,-0.02001953125,0.91796875,-0.79345703125,1.40380859375,0.48828125,1742308724.4955168
1742308724,515753051,-0.07470703125,0.05712890625,0.96533203125,-0.244140625,-3.47900390625,2.25830078125,1742308724.515753
1742308724,535614546,0.025390625,0.1513671875,1.0263671875,-3.2958984375,2.01416015625,4.69970703125,1742308724.5356145
1742308724,555567502,-0.03564453125,0.1044921875,0.9638671875,-3.96728515625,4.2724609375,5.4931640625,1742308724.5555675
1742308724,575626192,-0.0341796875,0.08837890625,0.9755859375,-3.72314453125,-1.77001953125,5.859375,1742308724.5756261
1742308724,595693684,-0.0068359375,0.0517578125,0.91162109375,-0.67138671875,1.46484375,7.2021484375,1742308724.5956936
1742308724,615506055,-0.11572265625,0.07080078125,0.9111328125,-1.5869140625,-5.2490234375,9.765625,1742308724.6155062
1742308724,635582603,-0.021484375,0.14208984375,0.9130859375,-1.8310546875,0.30517578125,10.8642578125,1742308724.6355827
