t,x,y,z,yaw
1746722760998260992,8.49767780303955,-67.9135513305664,0.0020481490064412355,-3.1378967186289812
1746722761098174976,7.67681360244751,-67.91691589355469,0.0020604324527084827,-3.137552105583925
1746722761198304000,6.896788120269775,-67.92073059082031,0.0020137785468250513,-3.1369640796152356
1746722761298203648,6.106691360473633,-67.92674255371094,0.002012176439166069,-3.1351403469007493
1746722761398187776,5.252688407897949,-67.93445587158203,0.0020302580669522285,-3.133457495407928
1746722761498440704,4.5021586418151855,-67.94181823730469,0.002038612263277173,-3.1324327110204657
1746722761598226944,3.6699037551879883,-67.95039367675781,0.0020421980880200863,-3.131699542772367
1746722761698404352,2.884138822555542,-67.95870208740234,0.0020477676298469305,-3.131267844359665
1746722761798194944,2.053886651992798,-67.9676513671875,0.00204639439471066,-3.130975162955865
1746722761898298624,1.2285977602005005,-67.97657775878906,0.0020381927024573088,-3.1308404070047073
1746722761998204928,0.4410892426967621,-67.985107421875,0.0020394898019731045,-3.130793269053413
1746722762098173696,-0.3591386675834656,-67.99378967285156,0.002059021033346653,-3.1307525226887347
1746722762198812416,-1.1788452863693237,-68.00273895263672,0.0020972059573978186,-3.130706982634094
1746722762298176000,-1.9085267782211304,-68.01068115234375,0.0021245956886559725,-3.1307024552602414
1746722762398110208,-2.7232091426849365,-68.01956176757812,0.002136878902092576,-3.130701123679696
1746722762498158848,-3.445094585418701,-68.02742767333984,0.0021268080454319715,-3.130701123679696
1746722762598226944,-4.189140319824219,-68.03551483154297,0.002106247004121542,-3.1307141731690376
1746722762698297600,-4.949918746948242,-68.04374694824219,0.0021008681505918503,-3.1307487942632086
1746722762798208768,-5.641720294952393,-68.0512466430664,0.0021180342882871628,-3.1307501258437536
1746722762898225920,-6.3882975578308105,-68.05933380126953,0.0021315382327884436,-3.1307501258437536
1746722762998302976,-7.076979637145996,-68.0667724609375,0.0021299361251294613,-3.130771164816365
1746722763098244608,-7.74708890914917,-68.07402038574219,0.0021099471487104893,-3.1307796869318536
1746722763198215936,-8.441997528076172,-68.08153533935547,0.0021141814067959785,-3.1307812848285077
1746722763298186496,-9.153629302978516,-68.08922576904297,0.0021167753729969263,-3.1307812848285077
1746722763398297088,-9.802166938781738,-68.09624481201172,0.0021159362513571978,-3.1307810185123985
1746722763498203392,-10.457250595092773,-68.10332489013672,0.0021027754992246628,-3.1307802195640715
1746722763598147328,-11.127506256103516,-68.11055755615234,0.0021078872960060835,-3.1307799532479623
1746722763698224128,-11.746291160583496,-68.11724853515625,0.0021142195910215378,-3.1307799532479623
1746722763798171392,-12.390664100646973,-68.12421417236328,0.0021244429517537355,-3.1307796869318536
1746722763898256128,-12.993903160095215,-68.13072967529297,0.0021164321806281805,-3.1307890079956686
1746722763998273024,-13.578963279724121,-68.13693237304688,0.002103347796946764,-3.1308798217888403
1746722764098149120,-14.191619873046875,-68.14341735839844,0.0020969391334801912,-3.1309360144878413
1746722764198185216,-14.803431510925293,-68.14988708496094,0.0020999526605010033,-3.1309778261169554
1746722764298171904,-15.378439903259277,-68.15593719482422,0.0021044921595603228,-3.1310116482627994
1746722764398112768,-15.96981143951416,-68.16215515136719,0.0021112821996212006,-3.131041475667008
1746722764498392320,-16.542949676513672,-68.16814422607422,0.002120399381965399,-3.1310830209800136
1746722764598133760,-17.086299896240234,-68.1738052368164,0.00210369098931551,-3.1311189736547296
1746722764699268352,-17.6751651763916,-68.17994689941406,0.002074012765660882,-3.131139213679014
1746722764798193664,-18.213193893432617,-68.18550872802734,0.002079620258882642,-3.1311892811075075
1746722764898205440,-18.770437240600586,-68.19127655029297,0.0021164321806281805,-3.13122363588557
1746722764998198016,-19.255861282348633,-68.1962890625,0.0021332930773496628,-3.131227896943314
1746722765098259712,-19.775001525878906,-68.20167541503906,0.002113456605002284,-3.131228163259423
1746722765198280192,-20.318340301513672,-68.207275390625,0.0020810316782444715,-3.1312534632897786
1746722765298181120,-20.845378875732422,-68.21272277832031,0.002081985352560878,-3.1312563927669776
1746722765398174720,-21.342193603515625,-68.21785736083984,0.0020888899452984333,-3.1312579906636318
1746722765498216192,-21.830158233642578,-68.22285461425781,0.001968116732314229,-3.1312782306879163
1746722765598205696,-22.27617073059082,-68.22744750976562,0.0020459366496652365,-3.1312782306879163
1746722765698399488,-22.675750732421875,-68.2315673828125,0.0021458815317600965,-3.1312776980556984
1746722765798143488,-23.054651260375977,-68.2354736328125,0.0021884918678551912,-3.13127716542348
1746722765898224640,-23.363292694091797,-68.2386703491211,0.0022582244127988815,-3.1312766327912622
1746722765998157568,-23.634767532348633,-68.24147033691406,0.0022638700902462006,-3.131276366475153
1746722766098137856,-23.86638069152832,-68.24388885498047,0.002241973765194416,-3.1312635833019207
1746722766198280448,-24.009538650512695,-68.245361328125,0.0024672315921634436,-3.1312627843535936
1746722766298232064,-24.013349533081055,-68.24540710449219,0.0025932311546057463,-3.131265713830793
1746722766398129152,-24.013620376586914,-68.24540710449219,0.002398338168859482,-3.131265713830793
1746722766498312192,-24.01380729675293,-68.24540710449219,0.0022129439748823643,-3.131265713830793
1746722766598115072,-24.01392936706543,-68.24540710449219,0.002072677481919527,-3.131265713830793
1746722766698308864,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722766798146560,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722766898179584,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722766998607104,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767098253056,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767198265600,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767298134528,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767398236672,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767498272768,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767598131200,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767698221568,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767798198016,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767898163968,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722767998183680,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768098322176,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768198154240,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768298204928,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768398192128,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768498331904,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768598350848,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768698215424,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768798353408,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768898158592,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722768998212352,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769098159616,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769198190848,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769298252544,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769398188800,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769498236160,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769598169600,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769698219520,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
1746722769798119168,-24.01394271850586,-68.24540710449219,0.002062568673864007,-3.131265713830793
