t,steer,speed
1746722618798202880,0.0,0.0
1746722618898160896,0.0,0.0
1746722618998254080,0.0,0.0
1746722619098379008,0.0,0.0
1746722619199041024,-0.5,0.6277462244033813
1746722619298235392,-0.05076856166124344,2.0657002925872803
1746722619398122752,-0.13020877540111542,2.7593226432800293
1746722619498202368,-0.3638498783111572,3.4546544551849365
1746722619598260736,-0.103508859872818,4.268509864807129
1746722619698197504,-0.06359885632991791,4.579985618591309
1746722619798124800,-0.05036954581737518,5.248331069946289
1746722619898153216,-0.042964231222867966,5.559724807739258
1746722619998191872,-0.047647446393966675,5.92319393157959
1746722620098189824,-0.13972648978233337,6.542501449584961
1746722620198161152,-0.08806124329566956,7.522183418273926
1746722620298162944,-0.14344361424446106,7.608972072601318
1746722620398209280,-0.12279470264911652,8.01516056060791
1746722620498277376,-0.14901484549045563,8.62717342376709
1746722620598251520,-0.1531025469303131,8.23356819152832
1746722620698256384,-0.15544629096984863,7.926759719848633
1746722620798208768,-0.16497500240802765,7.80233097076416
1746722620898209792,-0.15787352621555328,7.897757053375244
1746722620998186496,-0.18314477801322937,8.190378189086914
1746722621098205696,-0.12771211564540863,8.140772819519043
1746722621198228480,-0.08442795276641846,8.374581336975098
1746722621298141952,-0.11961357295513153,7.720244407653809
1746722621398156800,-0.12200657278299332,7.921284198760986
1746722621498255360,-0.15412628650665283,8.152154922485352
1746722621598210048,-0.1297624111175537,8.4793119430542
1746722621698229760,-0.19493412971496582,7.718210220336914
1746722621798258688,-0.1520523875951767,8.241059303283691
1746722621898126592,-0.15622088313102722,7.91799259185791
1746722621998193664,-0.13381528854370117,7.904305934906006
1746722622098142464,-0.1197810247540474,8.277088165283203
1746722622198166016,-0.1614329069852829,7.927985668182373
1746722622298130176,-0.17463797330856323,8.014679908752441
1746722622398214400,-0.2042628973722458,8.00830364227295
1746722622498164480,-0.21604026854038239,8.189193725585938
1746722622598131968,-0.23178289830684662,8.243700981140137
1746722622698149376,-0.16055558621883392,8.20201587677002
