t,x,y,z
1746722618699384320,-64.64484405517578,24.471010208129883,0.43380206823349
1746722618798202880,-64.64484405517578,24.471010208129883,0.1940666139125824
1746722618898160896,-64.64484405517578,24.471010208129883,-0.03666374087333679
1746722618998254080,-64.64484405517578,24.471010208129883,-0.06723159551620483
1746722619098379008,-64.64484405517578,24.471010208129883,-0.04626941680908203
1746722619199041024,-64.58174133300781,24.467689514160156,-0.025031089782714844
1746722619298235392,-64.37715911865234,24.456180572509766,-0.012176093645393848
1746722619398122752,-64.10218811035156,24.437246322631836,-0.005356750451028347
1746722619498202368,-63.75871276855469,24.397729873657227,-0.0017126082675531507
1746722619598260736,-63.3352165222168,24.34237289428711,0.00010215758811682463
1746722619698197504,-62.88199234008789,24.27845001220703,0.0009122085175476968
1746722619798124800,-62.36337661743164,24.2004337310791,0.0014156341785565019
1746722619898153216,-61.81414031982422,24.113134384155273,0.0016088866395875812
1746722619998191872,-61.229881286621094,24.014371871948242,0.0016590500017628074
1746722620098189824,-60.58861541748047,23.884740829467773,0.0016569518484175205
1746722620198161152,-59.855159759521484,23.71875762939453,0.0016489409608766437
1746722620298162944,-59.11997604370117,23.522567749023438,0.00165557861328125
1746722620398209280,-58.35277557373047,23.289270401000977,0.001681594760157168
1746722620498277376,-57.53897476196289,23.00113868713379,0.0018080901354551315
1746722620598251520,-56.77592086791992,22.692407608032227,0.0019759749993681908
1746722620698256384,-56.054603576660156,22.363624572753906,0.0020750807598233223
1746722620798208768,-55.36030578613281,22.008464813232422,0.002091369591653347
1746722620898209792,-54.67357635498047,21.618392944335938,0.002051773015409708
1746722620998186496,-53.98388671875,21.176982879638672,0.00202568038366735
1746722621098205696,-53.31449890136719,20.713417053222656,0.0020270920358598232
1746722621198228480,-52.63782501220703,20.219684600830078,0.0020518111996352673
1746722621298141952,-52.02968978881836,19.745176315307617,0.0020741652697324753
1746722621398156800,-51.42190170288086,19.23699188232422,0.002066726563498378
1746722621498255360,-50.81956100463867,18.686473846435547,0.002057952806353569
1746722621598210048,-50.216400146484375,18.091045379638672,0.0020455550402402878
1746722621698229760,-49.696533203125,17.520360946655273,0.002059135353192687
1746722621798258688,-49.168701171875,16.88716697692871,0.0020560836419463158
1746722621898126592,-48.68915557861328,16.25841522216797,0.0020551299676299095
1746722621998193664,-48.23310089111328,15.61216926574707,0.0020547104068100452
1746722622098142464,-47.77979278564453,14.920133590698242,0.0020637894049286842
1746722622198166016,-47.37550354003906,14.23794937133789,0.0020621109288185835
1746722622298130176,-47.00140380859375,13.529472351074219,0.0020623779855668545
1746722622398214400,-46.66868591308594,12.80029010772705,0.0020685195922851562
1746722622498164480,-46.376068115234375,12.035872459411621,0.002078361576423049
1746722622598131968,-46.1341552734375,11.248074531555176,0.0020648955833166838
1746722622698149376,-45.92982864379883,10.453584671020508,0.0020457839127629995
1746722622798270208,-45.76846694946289,9.704694747924805,0.002057418692857027
1746722622898209024,-45.63527297973633,8.905794143676758,0.0020688248332589865
1746722622998159872,-45.53158187866211,8.103493690490723,0.0020760726183652878
1746722623098197760,-45.46371078491211,7.300348281860352,0.0020692062098532915
1746722623198253824,-45.4157600402832,6.452142238616943,0.0020493697375059128
1746722623298214656,-45.384334564208984,5.653052806854248,0.0020385361276566982
1746722623398195712,-45.361087799072266,4.833494663238525,0.002044792054221034
1746722623498261248,-45.34736251831055,4.061701774597168,0.0020551681518554688
1746722623598193664,-45.33818817138672,3.255065441131592,0.0020563506986945868
1746722623698308352,-45.33230209350586,2.4603238105773926,0.0020475387573242188
1746722623798233088,-45.32811737060547,1.6034536361694336,0.0020454786717891693
1746722623898277120,-45.32563018798828,0.8397662043571472,0.002040863037109375
1746722623998327296,-45.323699951171875,-0.014300460927188396,0.002036781283095479
1746722624098192896,-45.32241439819336,-0.8078804016113281,0.002040977356955409
1746722624198194944,-45.321533203125,-1.5783594846725464,0.0020458220969885588
1746722624298186240,-45.321083068847656,-2.427825927734375,0.0020539092365652323
1746722624398174464,-45.32190704345703,-3.236999750137329,0.0020454407203942537
1746722624498268928,-45.32332992553711,-4.032217979431152,0.002034683246165514
1746722624598210816,-45.32508087158203,-4.820208549499512,0.0020356751047074795
1746722624698221312,-45.32709503173828,-5.64473819732666,0.002044105436652899
1746722624798245888,-45.32915496826172,-6.447170257568359,0.0020494842901825905
1746722624898199552,-45.33123016357422,-7.271335124969482,0.0020475387573242188
