t,x,y,z,yaw
1746722621698229760,-50.09750473919706,17.97681381848987,0.0,-0.7584290858267477
1746722621798258688,-49.79949398509549,17.688210848456347,0.0,-0.7630877794527096
1746722621898126592,-49.39287581616251,17.291663850997548,0.0,-0.7704863766027691
1746722621998193664,-48.924779417895316,16.83137552418673,0.0,-0.7803088962511029
1746722622098142464,-48.41606304359541,16.326937797699635,0.0,-0.7919989842446207
1746722622198166016,-47.88395716043205,15.794032905536643,0.0,-0.8057974279194775
1746722622298130176,-47.34309221918484,15.245687775736188,0.0,-0.8221454558285386
1746722622398214400,-46.79698998093352,14.684029913827711,0.0,-0.8413659037266646
1746722622498164480,-46.24848959516785,14.110292357521205,0.0,-0.8636548185500358
1746722622598131968,-45.69741477026675,13.52267987852504,0.0,-0.8891265262553897
1746722622698149376,-45.14638058986915,12.923845630312341,0.0,-0.9169426554447695
1746722622798270208,-44.60418627977136,12.325234917095315,0.0,-0.946021608504352
1746722622898209024,-44.07119523650646,11.725196969135311,0.0,-0.9762189602488183
1746722622998159872,-43.54090528538889,11.113791519159799,0.0,-1.0073140836312977
1746722623098197760,-43.01509323414068,10.492150151995405,0.0,-1.0391953300258174
1746722623198253824,-42.490585843826175,9.853278211978314,0.0,-1.0714020017356418
1746722623298214656,-41.97097076486282,9.203505279433701,0.0,-1.1028744231064618
1746722623398195712,-41.458871381564215,8.546911229280447,0.0,-1.1330987084131554
1746722623498261248,-40.956871001026194,7.888192068889601,0.0,-1.1619524624990105
1746722623598193664,-40.46591776785988,7.2266500403371134,0.0,-1.1892926857957486
1746722623698308352,-39.9824821245113,6.554855928777835,0.0,-1.2150498847242408
1746722623798233088,-39.50511034827963,5.864947703513064,0.0,-1.239106758886896
1746722623898277120,-39.03695664191704,5.167457178455246,0.0,-1.2615996316120572
1746722623998327296,-38.57852203909967,4.460367973939749,0.0,-1.2825519417575546
1746722624098192896,-38.12982468894744,3.7425205977285323,0.0,-1.3020175683717008
1746722624198194944,-37.69470313336915,3.0288008727016242,0.0,-1.3201413188833584
1746722624298186240,-37.26973927780398,2.303549824857397,0.0,-1.336981834999239
1746722624398174464,-36.85402330437478,1.5635113679218786,0.0,-1.3526911080543322
1746722624498268928,-36.45044857831365,0.8216149506347505,0.0,-1.3673734473737378
1746722624598210816,-36.06052567192475,0.08201748381706675,0.0,-1.381016064930677
1746722624698221312,-35.68162521353845,-0.6657378910991532,0.0,-1.3936970994893083
1746722624798245888,-35.313701926434234,-1.4216390259121816,0.0,-1.4054704864774143
1746722624898199552,-34.957156870844294,-2.184213580477336,0.0,-1.416381904816374
1746722624998273024,-34.61149953209312,-2.9524888802276976,0.0,-1.4265107952977336
1746722625098219776,-34.278437793638126,-3.7181354375851057,0.0,-1.4358901835833977
1746722625198213888,-33.95606518823437,-4.490887269554834,0.0,-1.4445884220378125
1746722625298231552,-33.64479437261346,-5.265471480116789,0.0,-1.4526307536561789
1746722625398195968,-33.34508533499163,-6.038037565296954,0.0,-1.4599901058026807
1746722625498128896,-33.055079089087535,-6.821873617936853,0.0,-1.466710956406041
1746722625598199296,-32.774410951702826,-7.614296796239589,0.0,-1.4728967898194876
1746722625698218240,-32.50431905947394,-8.404905763747086,0.0,-1.4785934403025018
1746722625798221824,-32.2443466340017,-9.195194250887646,0.0,-1.4838491032977292
1746722625898267136,-31.994243604311414,-9.983746244657093,0.0,-1.488703040851805
1746722625998239488,-31.75377742273351,-10.772080161448685,0.0,-1.4931085748931296
1746722626098226176,-31.52240249921962,-11.560554911110453,0.0,-1.4970628930542074
1746722626198199040,-31.301157674756052,-12.333381964211672,0.0,-1.5006430380931344
1746722626298164736,-31.089743154254954,-13.093068030365094,0.0,-1.5039003694213768
1746722626398184704,-30.886992668783687,-13.851058628024289,0.0,-1.5068677066880432
1746722626498187008,-30.693280843450513,-14.598615343310481,0.0,-1.5095559680457553
1746722626598188032,-30.50802718085089,-15.341257094602508,0.0,-1.5119927379202298
1746722626698173440,-30.331212008255672,-16.07415286412572,0.0,-1.514215520845946
1746722626798204672,-30.162518760316008,-16.798106467451397,0.0,-1.5162443759606044
1746722626898188800,-30.00154291566373,-17.516664019894854,0.0,-1.5180941396976586
1746722626998170112,-29.848617545693976,-18.21797475438959,0.0,-1.5197814679522244
1746722627098149888,-29.703235517796593,-18.90809682518669,0.0,-1.5213190034658723
1746722627198222592,-29.564672113814314,-19.593277898199915,0.0,-1.5227105463747037
1746722627298201856,-29.43315034596108,-20.267311456990168,0.0,-1.5239597755680026
1746722627398130688,-29.308342954189865,-20.930902208845364,0.0,-1.5250895689637398
1746722627498190592,-29.18929038225237,-21.595183970279624,0.0,-1.5261107873080404
1746722627598220800,-29.076136329258983,-22.252957903860104,0.0,-1.5270308060093525
1746722627698114560,-28.96924215098885,-22.893253648081973,0.0,-1.5278616964586504
1746722627798355712,-28.867602664729606,-23.52599958549037,0.0,-1.5286140632305827
1746722627898201856,-28.771429451866652,-24.15282469873706,0.0,-1.529287702689907
1746722627998263296,-28.680144776298352,-24.77078449443724,0.0,-1.529894080901406
1746722628098206208,-28.594014223242528,-25.37417735979215,0.0,-1.5304338123526275
1746722628198229760,-28.512192695035168,-25.975266593292684,0.0,-1.5309142513724912
1746722628298323712,-28.43464361294301,-26.568845864572474,0.0,-1.5313454679116398
1746722628398231040,-28.361489527205464,-27.150508607135546,0.0,-1.5317283614148525
1746722628498226432,-28.292450443537696,-27.718591725107594,0.0,-1.5320695103748048
1746722628598117632,-28.227010548407446,-28.284241629652467,0.0,-1.5323717302563953
1746722628698238464,-28.164844798536045,-28.84543778032123,0.0,-1.532637513614469
1746722628798173184,-28.10620502555026,-29.396232005214504,0.0,-1.5328760162126727
1746722628898264576,-28.050417396257426,-29.94545378660882,0.0,-1.5330903206884365
1746722628998132480,-27.997879333235414,-30.481376767140432,0.0,-1.5332787921943252
1746722629098253312,-27.948117412560464,-31.008621752708244,0.0,-1.5334368866741215
1746722629198243072,-27.900944290652685,-31.531154535805012,0.0,-1.533575397920943
1746722629298226688,-27.85616959341321,-32.048823585525284,0.0,-1.5337054135082933
1746722629398202880,-27.813777696206728,-32.55772910134114,0.0,-1.5338137336890196
1746722629498127616,-27.77351490574926,-33.06115065706594,0.0,-1.5338925680914397
1746722629598155264,-27.735197634098835,-33.559539602307325,0.0,-1.5339531343930353
